column,channel,summary_row,formula,cached_value
B,Time,17423,B17422,290.28333333333336
C,Longitudinal Acceleration,17423,MAX(C5:C17422),2.20455
D,Vertical Acceleration,17423,MAX(D5:D17422),10.2739
E,Speed,17423,MAX(E5:E17422),62.6233
F,Distance,17423,F17422,114001.09999999999
G,Distance,17423,G17422,114.0011
J,Electric Power RL,17423,MAX(J5:J17422),24.6289
K,Electric Power RR,17423,MAX(K5:K17422),24.6289
L,Total EDU Elect Power,17423,MAX(L5:L17422),49.2578
M,Battery Power,17423,MAX(M5:M17422),99.9503
M,Battery Power,17424,MIN(M5:M17422),-149.18
O,Battery Heatflow,17423,MAX(O5:O17422),14.7541
Q,Battery Energy,17423,Q5-Q17422,71.0617
R,Battery SOC,17423,R17422,23.9383
S,Energy Recuperated,17423,S17422,1.760681
T,Energy Released,17423,T17422,161.06459999999998
U,EDU Heatflow RL,17423,MAX(U5:U17422),5.1714
V,EDU Speed RL,17423,MAX(V5:V17422),3237.7
W,EDU Torque RL,17423,MAX(W5:W17422),684.009
X,EDU Mech Power RL,17423,MAX(X5:X17422),55.68205194495644
Y,RR Motor Heatflow,17423,MAX(Y5:Y17422),5.1714
Z,EDU Speed RR,17423,MAX(Z5:Z17422),3237.7
AA,EDU Torque RR,17423,MAX(AA5:AA17422),684.009
AB,EDU Mech Power RR,17423,MAX(AB5:AB17422),55.68205194495644
AC,Total EDU Mech Power,17423,X17423+AB17423,111.36410388991288
AD,Engine Fuel Consumption ,17423,AD17422,39.8380600000014
AG,Engine Speed,17423,MAX(AG5:AG17422),1999.98
AH,Engine Torque,17423,MAX(AH5:AH17422),567.246
AI,Engine Power Required,17423,MAX(AI5:AI17422),82.66317798257373
AJ,Engine Energy Delivered [kWh],17423,SUM(AJ5:AJ17422),219.3011310532373
AL,Agrochemical Discharge,17423,MAX(AL5:AL17422),3998.6544342507646
AV, Tyre Rolling Resistance Energy,17423,SUM(AV5:AV17422),77.67730124737605
AW, Tyre Rolling Resistance Energy,17423,SUM(AW5:AW17422),77677.30124737603
AX, Tyre Rolling Resistance Energy Accomulated,17423,AX17422,77.67730124737605
BE,Wheel Total Torque,17423,MAX(BE5:BE17422),22975.2
BF,Wheel Power RL,17423,MAX(BF5:BF17422),53.4533930925352
BG,Wheel Power RR,17423,MAX(BG5:BG17422),53.4533930925352
BH,Wheel Power Total,17423,BF17423+BG17423,106.9067861850704
BI,Auxiliary Low Voltage Power Consumption,17423,MAX(BI5:BI17422),10.7527
BJ,Auxiliary Haigh Voltage Power Consumption,17423,MAX(BJ5:BJ17422),18
BK,Total Auxiliary Power,17423,MAX(BK5:BK17422),28.7527
BL,Auxiliary Energy Consumption,17423,SUM(BL5:BL17422),109.35260816664805
BM,Auxiliary Energy Consumption Accumulated,17423,BM17422,109.35260816664805
BN,Generator Torque_1,17423,MAX(BN5:BN17422),474.377
BO,Generator Power_1,17423,MAX(BO5:BO17422),80.02669061662199
BP,Generator Torque_2,17423,MAX(BP5:BP17422),0
BQ,Generator Power_2,17423,MAX(BQ5:BQ17422),0
BR,Total Generator Power,17423,BQ17423+BO17423,80.02669061662199
