phase_id,phase_type,label,report_rows,sample_count,duration_s_nominal,timestamp_start_s,timestamp_end_s,timestamp_span_s,source_rows_aligned,source_exact_match_report_rows,source_mapping_mode,distance_start_km,distance_end_km,distance_delta_within_phase_km,boundary_distance_jump_m,soc_start_pct,soc_end_pct,soc_delta_within_phase_pct,boundary_soc_jump_pct,soc_delta_from_previous_phase_end_to_phase_end_pct,generator_state,generator_active_samples_gt1kW,generator_max_kW,generator_mean_kW,charging_state,battery_power_mean_kW,fuel_start_kg,fuel_end_kg,fuel_delta_within_phase_kg,fuel_delta_from_previous_phase_end_to_phase_end_kg,energy_released_delta_within_phase_kWh,energy_recuperated_delta_within_phase_kWh,aux_energy_delta_within_phase_kWh,tyre_energy_delta_within_phase_kWh,engine_energy_sum_kWh,agrochemical_start_kg,agrochemical_end_kg,notes,numerical_authority,ppt_duration_authority,profile_authority,drive_range_extender_start_soc_pct,drive_range_extender_stop_soc_pct,drive_controller_initial_state,time_generation_rule,integration_compatibility_rule
P01,field_work,Field work 1 (74 ha nominal),5:1766,1762,1762,0.0,1761.0,1761.0,5:1766,5:1766,source_replay_with_soc_offset,0.0,11.9969,11.9969,0.0,95.0,61.8803,-33.1197,0.0,-33.1197,off,0,0.0,0.0,off,-61.544395720204314,0.0,0.0,0.0,0.0,18.0038,0.2964,14.064862416666028,10.66109430577779,-0.0002268998532959617,3998.6544342507646,0.9828511722731905,Same source vehicle profile; Q/R = source +37.6 points (57.4 -> 95.0).,sergio_excel,descriptive_only,raw_vsm_source,40,80,off,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P02,loading_opportunity_charge,Tank loading + opportunity charge 1,1767:2666,900,900,1762.0,2661.0,899.0,,,synthetic_loading_charge,11.9979,11.9979,0.0,1.0,61.896966666666664,76.88029999999915,14.983333333332489,0.01666666666666572,14.999999999999154,fixed ~80 kW during loading (with boundary-cell quirks),900,80.00422042560322,80.00422042560322,battery +60 kW; +15 kWh / +15 SOC points nominal,60.0,0.00406,3.653999999999964,3.649939999999964,3.653999999999964,0.0,0.0,2.4972222222222467,0.0,20.44609270274799,4.442926605504587,3998.633944954128,900 data rows at 1 Hz; formula increments Q/R by 15/900 per row. Tank load rises ~4.44293 kg/s toward 4000 kg.,sergio_excel,descriptive_only,synthetic_scenario_action,,,opportunity_charge_mode,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P03,field_work,Field work 2 (74 ha nominal),2667:4463,1797,1797,2662.0,4458.0,1796.0,5:1801,2667:4463,source_replay_with_cumulative_offsets,11.9979,23.997400000000003,11.999500000000001,0.0,77.0,43.7648,-33.2352,0.11970000000084724,-33.11549999999915,off,0,0.0,0.0,off,-60.55619558096828,3.653999999999964,3.653999999999964,0.0,0.0,18.0043,0.2964,14.344402555553998,10.661793028136662,-0.0002268998532959617,3998.6544342507646,0.15840468909276248,Direct replay of source rows 5:1801 with distance/SOC/energy/fuel offsets.,sergio_excel,descriptive_only,raw_vsm_source,40,80,off,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P04,loading_opportunity_charge,Tank loading + opportunity charge 2,4464:5363,900,900,4459.0,5358.0,899.0,,,synthetic_loading_charge,23.9968,23.9968,0.0,-0.6000000000021828,43.78146666666667,58.76479999999915,14.983333333332482,0.01666666666666572,14.999999999999147,fixed ~80 kW during loading (with boundary-cell quirks),899,80.00422042560322,79.91532684735255,battery +60 kW; +15 kWh / +15 SOC points nominal,60.0,3.653999999999964,7.303939999999928,3.649939999999964,3.649939999999964,0.0,0.0,2.4972222222228417,0.0009091602222213169,20.446092752201558,4.442926605504587,3998.633944954128,900 data rows at 1 Hz; formula increments Q/R by 15/900 per row. Tank load rises ~4.44293 kg/s toward 4000 kg.,sergio_excel,descriptive_only,synthetic_scenario_action,,,opportunity_charge_mode,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P05,field_work,Field work 3 (74 ha nominal),5364:7081,1718,1718,5359.0,7076.0,1717.0,5:1722,5364:6318,source_aligned_then_range_extender_variant,23.9968,35.9957,11.998899999999997,0.0,59.0,43.0362,-15.963799999999999,0.23520000000085162,-15.728599999999147,threshold-triggered / ramped on,763,80.0107457209283,35.49745294989496,off,-29.075709000058207,7.303939999999928,10.466859999999928,3.1629199999999997,3.1629199999999997,18.065700000000007,0.2885869999999999,13.713440527782389,10.65208559463186,17.32281680563239,3998.6544342507646,0.33743119266055044,Source-aligned; exact core raw match through report row 6318. Generator activates at row 6319 when SOC crosses below ~40%.,sergio_excel,descriptive_only,sergio_excel_reference_profile,40,80,off,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P06,road_travel,Road travel nominal 60 kph,7082:9617,2536,2536,7077.0,9612.0,2535.0,,,reference_only_road_profile,35.9957,78.00439999999999,42.0087,0.0,42.0,26.2109,-15.789100000000001,-1.036200000000001,-16.825300000000002,threshold-triggered / ramped on,2525,80.00422042560322,78.04408073745951,off,-20.39684891561514,10.466859999999928,19.260329999999925,8.793469999999997,8.793469999999997,52.6798,0.0,13.909192916661226,13.777338162777856,47.88395252791777,0.0,0.0,"Separate reference road profile; starts with explicit SOC reset to 42.0 and empty tank. Actual road distance is 42.0087 km, not 40 km.",sergio_excel,descriptive_only,sergio_excel_reference_profile,40,80,inherited_on_from_P05,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P07,loading_opportunity_charge,Tank loading + opportunity charge 3,9618:10517,900,900,9613.0,10512.0,899.0,,,synthetic_loading_charge,78.00439999999999,78.00439999999999,0.0,0.0,26.227566666666664,41.21089999999915,14.983333333332485,0.01666666666666572,14.999999999999151,fixed ~80 kW during loading (with boundary-cell quirks),899,80.00422042560322,79.91532684735255,battery +60 kW; +15 kWh / +15 SOC points nominal,60.0,19.2643899999999,22.914329999999083,3.6499399999991837,3.653999999999158,0.0,0.0,2.4972222222242095,0.0,20.42341928072405,4.442926605504587,3998.633944954128,900 data rows at 1 Hz; formula increments Q/R by 15/900 per row. Tank load rises ~4.44293 kg/s toward 4000 kg.,sergio_excel,descriptive_only,synthetic_scenario_action,,,opportunity_charge_mode,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P08,field_work,Field work 4 (74 ha nominal),10518:12080,1563,1563,10513.0,12075.0,1562.0,5:1567,10518:10561,source_aligned_then_range_extender_variant,78.00439999999999,90.00329999999998,11.998899999999994,0.0,41.0,42.9043,1.9042999999999992,-0.21089999999914966,1.6934000000008496,threshold-triggered / ramped on,1519,80.00442291596849,77.74506007808534,off,5.918667912699936,22.914329999999083,29.352679999999083,6.43835,6.43835,18.206099999999992,0.29003500000000004,12.475477055549028,10.615339685435977,34.50826183019542,3998.6544342507646,0.336940876656473,Source-aligned first 44 rows; generator activates at row 10562 at SOC 39.9834%.,sergio_excel,descriptive_only,sergio_excel_reference_profile,40,80,off,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P09,loading_opportunity_charge,Tank loading + opportunity charge 4,12081:12980,900,900,12076.0,12975.0,899.0,,,synthetic_loading_charge,90.00329999999998,90.00329999999998,0.0,0.0,42.920966666666665,57.90429999999915,14.983333333332482,0.01666666666666572,14.999999999999147,fixed ~80 kW during loading (with boundary-cell quirks),899,80.00422042560322,79.91532684735255,battery +60 kW; +15 kWh / +15 SOC points nominal,60.0,29.356739999999082,33.006679999999044,3.6499399999999618,3.653999999999961,0.0,0.0,2.4972222222242095,0.0,20.42341928072405,4.442926605504587,3998.633944954128,900 data rows at 1 Hz; formula increments Q/R by 15/900 per row. Tank load rises ~4.44293 kg/s toward 4000 kg.,sergio_excel,descriptive_only,synthetic_scenario_action,,,opportunity_charge_mode,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
P10,field_work,Field work 5 (74 ha nominal),12981:14656,1676,1676,12976.0,14651.0,1675.0,5:1680,12981:13889,source_aligned_then_range_extender_variant,90.00329999999998,102.0011,11.997800000000003,0.0,58.0,42.3984,-15.601599999999998,0.09570000000085344,-15.505899999999144,threshold-triggered / ramped on,767,80.02669061662199,36.6129186354765,off,-29.281739932637233,33.006679999999044,36.188119999999046,3.181440000000002,3.181440000000002,18.101099999999988,0.292859,13.377992361103708,10.647679706733093,17.424156815304023,3998.4811416921507,8.885853211009174,Source-aligned first 909 rows; generator activates at row 13890 at SOC 39.9786%. AL formulas are visibly misaligned near the end of the phase.,sergio_excel,descriptive_only,sergio_excel_reference_profile,40,80,off,"1Hz contiguous global timestamps; row count from profile/config, not PPT duration",reference_per_sample_rectangle where matching Sergio energy totals
