phase_id,report_rows,sample_count,start_timestamp_s,end_timestamp_s,timestamp_span_s,next_phase_start_delta_s,ppt_duration_s,composer_row_count_rule,notes
P01,5:1766,1762,0.0,1761.0,1761.0,1762.0,1761,profile/config sample_count,
P02,1767:2666,900,1762.0,2661.0,899.0,900.0,900,profile/config sample_count,
P03,2667:4463,1797,2662.0,4458.0,1796.0,1797.0,1798,profile/config sample_count,PPT duration not used to generate rows
P04,4464:5363,900,4459.0,5358.0,899.0,900.0,900,profile/config sample_count,
P05,5364:7081,1718,5359.0,7076.0,1717.0,1718.0,1717,profile/config sample_count,
P06,7082:9617,2536,7077.0,9612.0,2535.0,2536.0,2536,profile/config sample_count,
P07,9618:10517,900,9613.0,10512.0,899.0,900.0,900,profile/config sample_count,
P08,10518:12080,1563,10513.0,12075.0,1562.0,1563.0,1563,profile/config sample_count,
P09,12081:12980,900,12076.0,12975.0,899.0,900.0,900,profile/config sample_count,
P10,12981:14656,1676,12976.0,14651.0,1675.0,1676.0,1676,profile/config sample_count,
P11,14657:15556,900,14652.0,15551.0,899.0,900.0,900,profile/config sample_count,
P12,15557:17422,1866,15552.0,17417.0,1865.0,,1865,profile/config sample_count,
