column_index,channel_id,source_name,max_abs_error,different_sample_count_gt_1e-9,first_different_output_index,last_different_output_index,final_error,interpretation
1,track_time__col_001,Track_Time,0,0,,,0,exact full-mission equivalence
2,time__col_002,Time,0,0,,,0,exact full-mission equivalence
3,chassis_acceleration_longitudinal__col_003,Chassis_Acceleration_Longitudinal,0,0,,,0,exact full-mission equivalence
4,chassis_acceleration_vertical__col_004,Chassis_Acceleration_Vertical,0,0,,,0,exact full-mission equivalence
5,chassis_speed__col_005,Chassis_Speed,0,0,,,0,exact full-mission equivalence
6,vehicle_distance__col_006,Vehicle_Distance,1,3597,1762,5358,0,canonical continuity removes Sergio +1 m boundary artefact in early resolved phases
7,distance__col_007,Distance,0.00100000000000122,3597,1762,5358,0,canonical continuity removes Sergio +1 m boundary artefact in early resolved phases
8,driver_acceleratorpedal__col_008,Driver_AcceleratorPedal,0,0,,,0,exact full-mission equivalence
9,driver_brakepedal__col_009,Driver_BrakePedal,0,0,,,0,exact full-mission equivalence
10,electricsystem_battery_em3_power__col_010,ElectricSystem_Battery_EM3_Power,0,0,,,0,exact full-mission equivalence
11,electricsystem_battery_em4_power__col_011,ElectricSystem_Battery_EM4_Power,0,0,,,0,exact full-mission equivalence
12,total_edu_elect_power__col_012,Total EDU Elect Power,0,0,,,0,exact full-mission equivalence
13,electricsystem_battery_power__col_013,ElectricSystem_Battery_Power,0,0,,,0,exact full-mission equivalence
14,battery_power_rms__col_014,Battery Power RMS,9.09494701772928e-13,0,,,0,exact full-mission equivalence
15,electricsystem_battery_heatflow__col_015,ElectricSystem_Battery_Heatflow,0,0,,,0,exact full-mission equivalence
16,battery_heatflow_rms__col_016,Battery Heatflow RMS,7.105427357601e-15,0,,,0,exact full-mission equivalence
17,electricsystem_battery_energy__col_017,ElectricSystem_Battery_Energy,8.5265128291212e-13,0,,,0,exact full-mission equivalence
18,electricsystem_battery_soc__col_018,ElectricSystem_Battery_SOC,8.59756710269721e-13,0,,,0,exact full-mission equivalence
19,electricsystem_em_energy_recuperated__col_019,ElectricSystem_EM_Energy_Recuperated,0,0,,,0,exact full-mission equivalence
