column,position,source_type,raw_vsm_or_source_name,report_display_name,unit,raw_data_formula_cell_count,report_data_formula_cell_count,representative_formula,special_note
A,1,raw_vsm,Track_Time,Time,s,0,0,,
B,2,math,Time,Time,min,1866,17418,A5/60,
C,3,raw_vsm,Chassis_Acceleration_Longitudinal,Longitudinal Acceleration,m/s^2,0,0,,
D,4,raw_vsm,Chassis_Acceleration_Vertical,Vertical Acceleration,m/s^2,0,0,,
E,5,raw_vsm,Chassis_Speed,Speed,kph,0,0,,
F,6,raw_vsm,Vehicle_Distance,Distance,m,0,0,,
G,7,math,Distance,Distance,Km,1866,17418,F5/1000,
H,8,raw_vsm,Driver_AcceleratorPedal,Accelerator Pedal,%,0,0,,
I,9,raw_vsm,Driver_BrakePedal,Brake Pedal,%,0,0,,
J,10,raw_vsm,ElectricSystem_Battery_EM3_Power,Electric Power RL,kW,0,0,,
K,11,raw_vsm,ElectricSystem_Battery_EM4_Power,Electric Power RR,kW,0,0,,
L,12,math,Total EDU Elect Power,Total EDU Elect Power,kW,1866,17418,K5+J5,
M,13,raw_vsm,ElectricSystem_Battery_Power,Battery Power,kW,0,0,,
N,14,math,Battery Power RMS,Battery Power RMS,kW^2,1866,17418,M5^2,
O,15,raw_vsm,ElectricSystem_Battery_Heatflow,Battery Heatflow,kW,0,0,,
P,16,math,Battery Heatflow RMS,Battery Heatflow RMS,kW^2,1866,17418,O5^2,
Q,17,raw_vsm,ElectricSystem_Battery_Energy,Battery Energy,kWh,0,4500,,edited/constructed in report duty-cycle assembly
R,18,raw_vsm,ElectricSystem_Battery_SOC,Battery SOC,%,0,4500,,edited/constructed in report duty-cycle assembly
S,19,raw_vsm,ElectricSystem_EM_Energy_Recuperated,Energy Recuperated,kWh,0,0,,
T,20,raw_vsm,ElectricSystem_EM_Energy_Released,Energy Released,kWh,0,0,,
U,21,raw_vsm,ElectricSystem_EM3_Heatflow,EDU Heatflow RL,kW,0,0,,
V,22,raw_vsm,ElectricSystem_EM3_Speed,EDU Speed RL,rpm,0,0,,
W,23,raw_vsm,ElectricSystem_EM3_Torque,EDU Torque RL,Nm,0,0,,
X,24,math,EDU Mech Power RL,EDU Mech Power RL,kW,1866,17418,V5*W5/9548.8,
Y,25,raw_vsm,ElectricSystem_EM4_Heatflow,RR Motor Heatflow,kW,0,0,,
Z,26,raw_vsm,ElectricSystem_EM4_Speed,EDU Speed RR,rpm,0,0,,
AA,27,raw_vsm,ElectricSystem_EM4_Torque,EDU Torque RR,Nm,0,0,,
AB,28,math,EDU Mech Power RR,EDU Mech Power RR,kW,1866,17418,Z5*AA5/9548.8,
AC,29,math,Total EDU Mech Power,Total EDU Mech Power,kW,1866,17418,AB5+X5,
AD,30,raw_vsm,Engine_FuelConsumption_absolut,Engine Fuel Consumption ,kg,0,1798,,edited/constructed in report duty-cycle assembly
AE,31,raw_vsm,Engine_FuelConsumption_specific,Engine_FuelConsumption_specific,g/kWh,0,0,,
AF,32,raw_vsm,Engine_FuelConsumption_volumeflow,Fuel Flow,l/h,0,0,,
AG,33,raw_vsm,Engine_Speed,Engine Speed,rpm,0,0,,
AH,34,raw_vsm,Engine_Torque,Engine Torque,Nm,0,0,,
AI,35,math,Engine Power Required,Engine Power Required,kW,1866,17415,AG5*AH5/9548.8,
AJ,36,math,Engine Energy Delivered [kWh],Engine Energy Delivered [kWh],kWh,1866,17418,AI5/3600,
AK,37,raw_vsm,HitchRear_Force_Z_VehicleCoordinates,Agrochemical Discharge,N,0,899,,edited/constructed in report duty-cycle assembly
AL,38,math,Agrochemical Discharge,Agrochemical Discharge,Kg,1866,17418,-1*AK5/9.81,
AM,39,raw_vsm,Tyre_RollingResistanceForce_FL,Tyre Rolling Resistance Force FL,N,0,0,,
AN,40,raw_vsm,Tyre_RollingResistanceForce_FR,Tyre Rolling Resistance Force FR,N,0,0,,
AO,41,raw_vsm,Tyre_RollingResistanceForce_RL,Tyre Rolling Resistance Force RL,N,0,0,,
AP,42,raw_vsm,Tyre_RollingResistanceForce_RR,Tyre Rolling Resistance Force RR,N,0,0,,
AQ,43,raw_vsm,Tyre_RollingResistancePower_FL,Tyre Rolling Resistance Power FL,kW,0,0,,
AR,44,raw_vsm,Tyre_RollingResistancePower_FR,Tyre Rolling Resistance Power FR,kW,0,0,,
AS,45,raw_vsm,Tyre_RollingResistancePower_RL,Tyre Rolling Resistance Power RL,kW,0,0,,
AT,46,raw_vsm,Tyre_RollingResistancePower_RR,Tyre Rolling Resistance Power FR,kW,0,0,,
AU,47,math, Total Rolling Resistance Power, Total Rolling Resistance Power,kW,1866,17418,AQ5+AR5+AS5+AT5,
AV,48,math, Tyre Rolling Resistance Energy, Tyre Rolling Resistance Energy,kWh,1866,17418,(AU5)*1/3600,
AW,49,math, Tyre Rolling Resistance Energy, Tyre Rolling Resistance Energy,Wh,1866,17418,AV5*1000,
AX,50,math, Tyre Rolling Resistance Energy Accomulated, Tyre Rolling Resistance Energy Accomulated,kWh,1866,17418,SUM(AV5:AV$6),
AY,51,raw_vsm,Wheel_RotationalSpeed_FL,Wheel Speed FL,rpm,0,0,,
AZ,52,raw_vsm,Wheel_RotationalSpeed_FR,Wheel Speed FR,rpm,0,0,,
BA,53,raw_vsm,Wheel_RotationalSpeed_RL,Wheel Speed RL,rpm,0,0,,
BB,54,raw_vsm,Wheel_RotationalSpeed_RR,Wheel Speed RR,rpm,0,0,,
BC,55,raw_vsm,DriveShaft_Torque_RL,Wheel Torque RL_1C2G_30-60kph,Nm,0,0,,
BD,56,raw_vsm,DriveShaft_Torque_RR,Wheel Torque RR,Nm,0,0,,
BE,57,math,Wheel Total Torque,Wheel Total Torque,Nm,1866,17418,BC5+BD5,
BF,58,math,Wheel Power RL,Wheel Power RL,kW,1866,17418,BA5*BC5/9548.8,
BG,59,math,Wheel Power RR,Wheel Power RR,kW,1866,17418,BB6*BD6/9548.8,
BH,60,math,Wheel Power Total,Wheel Power Total,kW,1866,17418,BF5+BG5,
BI,61,raw_vsm,ElectricSystem_Auxiliary_LowVoltagePowerConsumption,Auxiliary Low Voltage Power Consumption,kW,0,0,,
BJ,62,raw_vsm,Auxiliary Haigh Voltage Power Consumption,Auxiliary Haigh Voltage Power Consumption,kW,0,0,,
BK,63,math,Total Auxiliary Power,Total Auxiliary Power,kW,1866,17418,BI5+BJ5,
BL,64,math,Auxiliary Energy Consumption,Auxiliary Energy Consumption,kWh,1866,17418,(BK5)*1/3600,
BM,65,math,Auxiliary Energy Consumption Accumulated,Auxiliary Energy Consumption Accumulated,kWh,1866,17418,BL5,
BN,66,raw_vsm,Engine_AuxiliaryTorque_1,Generator Torque_1,Nm,0,0,,
BO,67,math,Generator Power_1,Generator Power_1,kW,1866,17418,AG5*BN5/9548.8,
BP,68,raw_vsm,Engine_AuxiliaryTorque_2,Generator Torque_2,Nm,0,0,,
BQ,69,math,Generator Power_2,Generator Power_2,kW,1866,17418,AG5*BP5/9548.8,
BR,70,math,Total Generator Power,Total Generator Power,kW,1866,17415,BO5+BQ5,
