chart_number,chart_type,title,anchor_from_row,anchor_from_col,anchor_to_row,anchor_to_col,series_count,series_json,status
1,scatterChart,Fuel Consumption,6,CH,21,CN,2,"[{""name"": ""Engine Fuel Consumption "", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$5:$AD$17422""}, {""name"": ""Fuel Flow"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AF$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AF$5:$AF$17422""}]",meaningful
2,scatterChart,Auxiliaries Energy Consumption,22,CO,37,CV,2,"[{""name"": ""Total Auxiliary Power"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BK$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BK$5:$BK$17422""}, {""name"": ""Auxiliary Energy Consumption Accumulated"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BM$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BM$5:$BM$17422""}]",meaningful
3,scatterChart,Speed Vs Distance ,6,BT,21,CA,1,"[{""name"": ""Speed"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$5:$E$17422""}]",meaningful
4,scatterChart,Power at Wheels and EDU,6,DE,21,DL,2,"[{""name"": ""Wheel Power RL"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BF$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BF$5:$BF$17422""}, {""name"": ""EDU Mech Power RL"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$X$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$X$5:$X$17422""}]",meaningful
5,scatterChart,Generator Power,22,BT,37,CA,3,"[{""name"": ""Total Generator Power"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BR$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BR$5:$BR$17422""}, {""name"": ""Engine Fuel Consumption "", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$5:$AD$17422""}, {""name"": ""Energy Released"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$T$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$T$5:$T$17422""}]",meaningful
6,scatterChart,Battery Power Charge-Discharge,23,CA,38,CH,2,"[{""name"": ""Battery Power"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$M$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$M$5:$M$17422""}, {""name"": ""Total Generator Power"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BR$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BR$5:$BR$17422""}]",meaningful
7,scatterChart,Batterey Energy - Distance Based ,6,CO,21,CV,2,"[{""name"": ""Speed"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$5:$E$17422""}, {""name"": ""Battery Energy"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$5:$Q$17422""}]",meaningful
8,scatterChart,Energy Released,23,CI,38,CN,2,"[{""name"": ""Energy Released"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$T$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$T$5:$T$17422""}, {""name"": ""Energy Recuperated"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$S$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$S$5:$S$17422""}]",meaningful
9,scatterChart,Speed Vs Time ,6,CA,21,CH,1,"[{""name"": ""Speed"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$5:$E$17422""}]",meaningful
10,scatterChart,Battery SOC,7,DL,22,DS,2,"[{""name"": ""Speed"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$5:$E$17422""}, {""name"": ""Battery SOC"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$R$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$R$5:$R$17422""}]",meaningful
11,scatterChart,Agrochemical Discharge Vs Distance,22,DE,37,DL,1,"[{""name"": ""Agrochemical Discharge"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AL$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AL$5:$AL$17422""}]",meaningful
12,scatterChart,Batterey Energy - Time Based ,6,CW,21,DD,2,"[{""name"": ""Speed"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$E$5:$E$17422""}, {""name"": ""Battery Energy"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$5:$Q$17422""}]",meaningful
13,scatterChart,Tyres Energy Consumption,22,CW,37,DD,2,"[{""name"": "" Total Rolling Resistance Power"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AU$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AU$5:$AU$17422""}, {""name"": "" Tyre Rolling Resistance Energy Accomulated"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AX$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AX$5:$AX$17422""}]",meaningful
14,scatterChart,,6780,BS,6795,BZ,1,"[{""name"": """", ""name_ref"": null, ""x_ref"": null, ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$BK$5:$BK$17422""}]","orphan/scratch chart: untitled, incomplete source setup, located far down sheet"
15,scatterChart,,14639,G,14654,N,1,"[{""name"": """", ""name_ref"": null, ""x_ref"": null, ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$T$5:$T$14656""}]","orphan/scratch chart: untitled, incomplete source setup, located far down sheet"
16,scatterChart,Battery Energy & Fuel Consumption Vs Time,22,EA,37,EH,2,"[{""name"": ""Battery Energy"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$5:$Q$17422""}, {""name"": ""Engine Fuel Consumption "", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$5:$AD$17422""}]",meaningful
17,scatterChart,Engine Power Required & Fuel Consumption Vs Distance,6,DS,22,DZ,2,"[{""name"": ""Engine Fuel Consumption "", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$5:$AD$17422""}, {""name"": ""Engine Power Required"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AI$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AI$5:$AI$17422""}]",meaningful
18,scatterChart,Battery Energy & Fuel Consumption Vs Distance,7,EA,22,EH,2,"[{""name"": ""Battery Energy"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$Q$5:$Q$17422""}, {""name"": ""Engine Fuel Consumption "", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$G$5:$G$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$5:$AD$17422""}]",meaningful
19,scatterChart,Engine Power Required & Fuel Consumption Vs Time,22,DS,37,DZ,2,"[{""name"": ""Engine Fuel Consumption "", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AD$5:$AD$17422""}, {""name"": ""Engine Power Required"", ""name_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AI$3"", ""x_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$B$5:$B$17422"", ""y_ref"": ""'Hybrid_1C2G_30-60kph (2)'!$AI$5:$AI$17422""}]",meaningful
